prizeLabel,personLabel,sexlabel
Premio Miguel de Cervantes,Gonzalo Torrente Ballester,masculino
Premio Miguel de Cervantes,Augusto Roa Bastos,masculino
Premio Pulitzer,Wesley Morris,masculino
Premio O. Henry,Alice Munro,femenino
Premio Nobel de Literatura,Eugene O'Neill,masculino
Premio Nobel de Literatura,Jean-Paul Sartre,masculino
Premio Goncourt,André Pieyre de Mandiargues,masculino
Premio Goncourt,Patrick Chamoiseau,masculino
Premio O. Henry,John Irving,masculino
Premio O. Henry,Michael Chabon,masculino
Premio Nobel de Literatura,Mo Yan,masculino
Premio Goncourt,Alexis Jenni,masculino
Premio Goncourt,Henri Béraud,masculino
Premio Goncourt,Maxence Van der Meersch,masculino
Premio Goncourt,François Weyergans,masculino
Premio Miguel de Cervantes,Antonio Buero Vallejo,masculino
Premio Pulitzer,Conrad Aiken,masculino
Premio Miguel de Cervantes,Gonzalo Rojas,masculino
Premio Nobel de Literatura,Jacinto Benavente,masculino
Premio Goncourt,Paule Constant,femenino
Premio Goncourt,Frédérick Tristan,masculino
Premio Goncourt,Didier Decoin,masculino
Premio Goncourt,Pierre Combescot,masculino
Premio Goncourt,Laurent Gaudé,masculino
Premio Goncourt,Jean-Jacques Schuhl,masculino
Premio de Ficción Femenina,Rose Tremain,femenino
Premio O. Henry,Jane Smiley,femenino
Premio O. Henry,Louise Erdrich,femenino
Premio O. Henry,Patricia Highsmith,femenino
Premio O. Henry,Joyce Johnson,femenino
Premio O. Henry,Jean Stafford,femenino
Premio Goncourt,Roger Vailland,masculino
Premio Goncourt,Félicien Marceau,masculino
Premio Goncourt,Jean-Paul Dubois,masculino
Premio Goncourt,Henri Pourrat,masculino
Premio Nobel de Literatura,George Bernard Shaw,masculino
Premio Nobel de Literatura,Theodor Mommsen,masculino
Premio Nobel de Literatura,Seamus Heaney,masculino
Premio de Ficción Femenina,Ann Patchett,femenino
Premio O. Henry,Mary Gordon,femenino
Premio Goncourt,Antonine Maillet,femenino
Premio Goncourt,Ernest Pérochon,masculino
Premio Goncourt,Georges Conchon,masculino
Premio Nobel de Literatura,Sinclair Lewis,masculino
Premio Goncourt,Jean Fayard,masculino
Premio Goncourt,André Savignon,masculino
Premio O. Henry,Dorothy Parker,femenino
Premio O. Henry,Tillie Olsen,femenino
Premio Miguel de Cervantes,Sergio Pitol,masculino
Premio Pulitzer,Ira Glass,masculino
Premio Pulitzer,Héctor Rondón Lovera,masculino
Premio Pulitzer,Adam Johnson,masculino
Premio Pulitzer,Alex Jones,masculino
Premio Miguel de Cervantes,Fernando del Paso Morante,masculino
Premio Miguel de Cervantes,José Emilio Pacheco,masculino
Premio O. Henry,Denis Johnson,masculino
Premio O. Henry,Junot Díaz,masculino
Premio de Ficción Femenina,Helen Dunmore,femenino
Premio O. Henry,Mark Haddon,masculino
Premio O. Henry,Thomas J. Mabry,masculino
Premio Nadal,Francisco Umbral,masculino
Premio Nobel de Literatura,Hermann Hesse,masculino
Premio Nobel de Literatura,Gao Xingjian,masculino
Premio Nobel de Literatura,Bertrand Russell,masculino
Premio Miguel de Cervantes,Rafael Sánchez Ferlosio,masculino
Premio Miguel de Cervantes,Juan Gelman,masculino
Premio Miguel de Cervantes,Luis Rosales,masculino
Premio Goncourt,Maurice Bedel,masculino
Premio Goncourt,Yves Navarre,masculino
Premio Goncourt,Jean-Louis Curtis,masculino
Premio Pulitzer,Carlotta Gall,femenino
Premio Goncourt,Claude Farrère,masculino
Premio O. Henry,Marjorie Kinnan Rawlings,femenino
Premio de Ficción Femenina,Anne Michaels,femenino
Premio Goncourt,Michel Host,masculino
Premio Goncourt,Jacques Borel,masculino
Premio Goncourt,Marius Grout,masculino
Premio Goncourt,Pascal Lainé,masculino
Premio Nobel de Literatura,Albert Camus,masculino
Premio O. Henry,Cynthia Ozick,femenino
Premio O. Henry,Yiyun Li,femenino
Premio Goncourt,Louis Pergaud,masculino
Premio Goncourt,Jean Tharaud,masculino
Premio Goncourt,Charles Plisnier,masculino
Premio Nadal,Sebastià Juan Arbó,masculino
Premio Camões,Jorge Amado,masculino
Premio Pulitzer,Melanie Jayne Burford,femenino
Premio Pulitzer,Maggie Michael,femenino
Premio Pulitzer,Hannah McKay,femenino
Premio Nobel de Literatura,Władysław Reymont,masculino
Gran Premio de Novela de la Academia Francesa,Albert Cohen,masculino
Gran Premio de Novela de la Academia Francesa,Michel Déon,masculino
Premio Miguel de Cervantes,Antonio Gamoneda,masculino
Premio Pulitzer,Dave Barry,masculino
Premio Pulitzer,William Ecenbarger,masculino
Premio Pulitzer,Frank W. Buxton,masculino
Premio Pulitzer,Dar Yasin,masculino
Premio Nobel de Literatura,Rudyard Kipling,masculino
Premio Pulitzer,David Shaw,masculino
Premio O. Henry,Terry Southern,masculino
Premio O. Henry,Irvin S. Cobb,masculino
Premio Nobel de Literatura,Pablo Neruda,masculino
Premio Biblioteca Breve,Mario Vargas Llosa,masculino
Premio Pulitzer,Mary Jordan,femenino
Premio Pulitzer,Mei Fong,femenino
Premio Goncourt,Jean Vautrin,masculino
Premio Goncourt,Francis Walder,masculino
Premio Nobel de Literatura,Thomas Mann,masculino
Premio de Ficción Femenina,Lionel Shriver,femenino
Premio O. Henry,John Edgar Wideman,masculino
