prizeLabel,personLabel,sexlabel
Premio Herralde,Pedro Zarraluki,masculino
Premio de Ficción Femenina,Eimear McBride,femenino
Premio de Ficción Femenina,Lisa McInerney,femenino
Premio Nobel de Literatura,Giosuè Carducci,masculino
Premio Lazarillo,Carles Cano Peiró,masculino
Premio Nobel de Literatura,Octavio Paz,masculino
Premio Adonáis de Poesía,José Agustín Goytisolo,masculino
Premio Adonáis de Poesía,Roberto guevara sosa,masculino
Premio Adonáis de Poesía,Pablo Armando Fernández,masculino
Premio Nadal,Alfredo Conde,masculino
Premio Nadal,Rafael Argullol,masculino
Premio Camões,Dalton Trevisan,masculino
Premio Ojo Crítico,Luis Bagué Quílez,masculino
Premio Herralde,Luisgé Martín,masculino
Premio Biblioteca Breve,Juana Salabert,femenino
Premio Biblioteca Breve,Nivaria Tejera,femenino
Premio Lazarillo,Beatriz Doumerc,femenino
Gran Premio de Novela de la Academia Francesa,Camille Mayran,femenino
Premio Lazarillo,Eliacer Cansino,masculino
Gran Premio de Novela de la Academia Francesa,Frédérique Hébrard,femenino
Gran Premio de Novela de la Academia Francesa,Geneviève Dormann,femenino
Gran Premio de Novela de la Academia Francesa,Henriette Jelinek,femenino
Premio Lazarillo,Asun Balzola,femenino
Gran Premio de Novela de la Academia Francesa,Jacques de Bourbon Busset,masculino
Gran Premio de Novela de la Academia Francesa,Vassilis Alexakis,masculino
Gran Premio de Novela de la Academia Francesa,Michel Droit,masculino
Premio Strega,Fausta Cialente,femenino
Premio Strega,Mariateresa Di Lascia,femenino
Gran Premio de Novela de la Academia Francesa,Camille Pascal,masculino
Gran Premio de Novela de la Academia Francesa,Charles Géniaux,masculino
Gran Premio de Novela de la Academia Francesa,Christian Murciaux,masculino
Gran Premio de Novela de la Academia Francesa,Joseph Jolinon,masculino
Premio Biblioteca Breve,Adriano González León,masculino
Premio Biblioteca Breve,Fernando Aramburu,masculino
Premio Strega,Giorgio Montefoschi,masculino
Premio Nacional del Libro de Ficción,Tim O'Brien,masculino
Premio Nacional del Libro de Ficción,J. F. Powers,masculino
Premio Nadal,Fernando Marías Amondo,masculino
Premio Strega,Michele Prisco,masculino
Premio Nobel de Literatura,Iván Bunin,masculino
Premio Nobel de Literatura,William Golding,masculino
Gran Premio de Novela de la Academia Francesa,Paul Guth,masculino
Gran Premio de Novela de la Academia Francesa,Gabriel d'Aubarède,masculino
Premio Nobel de Literatura,Elfriede Jelinek,femenino
Premio Herralde,Andrés Barba,masculino
Premio Loewe,Antonio Gracia Caselles,masculino
Premio Nobel de Literatura,Miguel Ángel Asturias,masculino
Premio Biblioteca Breve,Juan Bonilla,masculino
Premio Biblioteca Breve,Clara Usón,femenino
Gran Premio de Novela de la Academia Francesa,François-Olivier Rousseau,masculino
Gran Premio de Novela de la Academia Francesa,François Duhourcau,masculino
Gran Premio de Novela de la Academia Francesa,François Sureau,masculino
Gran Premio de Novela de la Academia Francesa,François Taillandier,masculino
Premio Nacional del Libro de Ficción,Jesmyn Ward,femenino
Premio Nobel de Literatura,Ivo Andrić,masculino
Premio Nacional del Libro de Ficción,Peter Matthiessen,masculino
Premio Nacional del Libro de Ficción,Wright Morris,masculino
Premio Adonáis de Poesía,José García Nieto,masculino
Gran Premio de Novela de la Academia Francesa,Henri Coulonges,masculino
Gran Premio de Novela de la Academia Francesa,Henry Castillou,masculino
Gran Premio de Novela de la Academia Francesa,Jacques-Francis Rolland,masculino
Gran Premio de Novela de la Academia Francesa,Jean-Noël Pancrazi,masculino
Premio Nacional del Libro de Ficción,Conrad Richter,masculino
Premio Adonáis de Poesía,José Hierro,masculino
Premio Strega,Domenico Rea,masculino
Premio Strega,Emanuele Trevi,masculino
Premio Strega,Francesco Piccolo,masculino
Premio Strega,Nicola Lagioia,masculino
Premio Loewe,Rafael Courtoisie,masculino
Premio Ojo Crítico,Rafael Espejo,masculino
Premio Ojo Crítico,Rubén Martín Díaz,masculino
Premio Strega,Cesare Pavese,masculino
Premio Strega,Umberto Eco,masculino
Premio Lazarillo,Pilar Lozano Carbayo,femenino
Premio Herralde,Mariana Enríquez,femenino
Premio Herralde,Marta Sanz,femenino
Premio Ojo Crítico,Marta Sanz,femenino
Premio Nacional del Libro de Ficción,Adam Johnson,masculino
Premio Adonáis de Poesía,Vicente Gaos,masculino
Premio Adonáis de Poesía,Carlos Murciano,masculino
Premio Adonáis de Poesía,Diego Doncel,masculino
Premio Herralde,Paloma Díaz-Mas,femenino
Premio Adonáis de Poesía,José Ángel Valente,masculino
Premio Adonáis de Poesía,Félix Grande,masculino
Premio Ojo Crítico,Carlos Pardo,masculino
Premio Loewe,Guillermo Carnero,masculino
Premio Ojo Crítico,Vanesa Pérez-Sauquillo,femenino
Premio Adonáis de Poesía,Rafael Soto Vergés,masculino
Premio Adonáis de Poesía,Pureza Canelo,femenino
Premio Biblioteca Breve,Elvira Sastre,femenino
Premio Biblioteca Breve,Raquel Taranilla,femenino
Premio Adonáis de Poesía,María Elvira Lacaci,femenino
Premio Herralde,Javier Pérez Andújar,masculino
Premio Loewe,Javier Vela,masculino
Premio Ojo Crítico,José Luis Piquero,masculino
Premio Adonáis de Poesía,Joaquín Caro Romero,masculino
Premio Adonáis de Poesía,Lorenzo Gomis,masculino
Premio Adonáis de Poesía,Javier de Bengoechea,masculino
Premio Herralde,Álvaro Pombo,masculino
Premio Adonáis de Poesía,Javier Vela,masculino
Premio Adonáis de Poesía,Jesús Bernal,masculino
Premio Lazarillo,Carmen Vázquez-Vigo,femenino
Premio Lazarillo,Concha López Narváez,femenino
Premio Adonáis de Poesía,Manuel Padorno,masculino
Premio Adonáis de Poesía,Basilio Sánchez,masculino
Premio Adonáis de Poesía,Diego Jesús Jiménez,masculino
Premio Adonáis de Poesía,Eloy Sánchez Rosillo,masculino
Premio Nobel de Literatura,Romain Rolland,masculino
Premio Herralde,Miguel Sánchez-Ostiz,masculino
Premio Lazarillo,Pablo Amargo,masculino
Premio Nobel de Literatura,Bjørnstjerne Bjørnson,masculino
Premio Adonáis de Poesía,Alfonso Moreno,masculino
Premio Nobel de Literatura,Maurice Maeterlinck,masculino
Premio Loewe,Álvaro García,masculino
Premio Ojo Crítico,Luis Artigue,masculino
Premio Adonáis de Poesía,Jesús Hilario Tundidor,masculino
Premio Adonáis de Poesía,Joaquín Benito de Lucas,masculino
Premio Adonáis de Poesía,Joaquín Pérez Azaústre,masculino
Premio Nobel de Literatura,Nadine Gordimer,femenino
Premio Adonáis de Poesía,Irene Sánchez Carrón,femenino
Premio Adonáis de Poesía,Alba Flores Robla,femenino
Premio Adonáis de Poesía,María Elena Higueruelo,femenino
Premio Adonáis de Poesía,María Luisa Mora Alameda,femenino
Premio Adonáis de Poesía,Juan Carlos Mestre,masculino
Premio Adonáis de Poesía,Eduardo Moga,masculino
Premio Adonáis de Poesía,Martha Asunción Alonso,femenino
Premio Adonáis de Poesía,Luis Feria,masculino
Premio Adonáis de Poesía,Mariano Roldán,masculino
Premio Ojo Crítico,Laura Lío,femenino
Premio Lazarillo,María Solar,femenino
Premio Lazarillo,Alaine Agirre,femenino
Premio Herralde,Cristina Morales,femenino
Premio Nobel de Literatura,André Gide,masculino
Premio Loewe,Ben Clark,masculino
Premio Ojo Crítico,Ben Clark,masculino
Premio Adonáis de Poesía,Beatriz Hernanz,femenino
Premio Adonáis de Poesía,Carlos Vaquerizo,masculino
Premio Adonáis de Poesía,Jorge Galán,masculino
Premio Adonáis de Poesía,José Antonio Gómez-Coronado,masculino
Premio Adonáis de Poesía,José Antonio Moreno Jurado,masculino
Premio Adonáis de Poesía,José Gutiérrez Román,masculino
Premio Adonáis de Poesía,José Infante,masculino
Premio Hans Christian Andersen,James Krüss,masculino
Premio Adonáis de Poesía,Ricardo Molina Tenor,masculino
Premio Adonáis de Poesía,Rubén Martín Díaz,masculino
Premio Booker,Pat Barker,femenino
Premio Hans Christian Andersen,Cecil Bødker,femenino
Premio Lazarillo,Fernando Martínez Gil,masculino
Premio Lazarillo,Paco Climent,masculino
Premio Ojo Crítico,Fernando del Val,masculino
Premio Booker,William Golding,masculino
Premio Adonáis de Poesía,Julia Castillo,femenino
Premio Adonáis de Poesía,Julia Uceda,femenino
Premio Strega,Giovanni Comisso,masculino
Premio Hans Christian Andersen,Astrid Lindgren,femenino
Premio Adonáis de Poesía,Teresa Soto González,femenino
Premio Booker,Margaret Atwood,femenino
Premio Alfaguara de Novela,Juan Rulfo,masculino
Premio Strega,Mario Soldati,masculino
Premio Nobel de Literatura,Isaac Bashevis Singer,masculino
Premio Hans Christian Andersen,René Guillot,masculino
Premio Hans Christian Andersen,Klaus Ensikat,masculino
Premio Adonáis de Poesía,Sergio Navarro Ramírez,masculino
Premio literario Nike,Czesław Miłosz,masculino
Premio Adonáis de Poesía,Ángel García López,masculino
Premio Nacional del Libro de Ficción,James McBride,masculino
Premio Booker,Arundhati Roy,femenino
Premio Booker,Salman Rushdie,masculino
Premio Adonáis de Poesía,José Luis Alegre Cudós,masculino
Premio Adonáis de Poesía,José Martínez Ros,masculino
Premio Booker,V. S. Naipaul,masculino
Premio Booker,Yann Martel,masculino
Premio Booker,John Coetzee,masculino
Premio Strega,Primo Levi,masculino
Premio Lazarillo,Margarita del Mazo,femenino
Premio Ojo Crítico,Carlota Ferrer,femenino
Premio Lazarillo,Judit Morales i Villanueva,femenino
Premio Ojo Crítico,Aroa Moreno Durán,femenino
Premio Hiperión,Begoña M. Rueda,femenino
Premio Adonáis de Poesía,Javier Peñas Navarro,masculino
Premio Nacional del Libro de Ficción,Phil Klay,masculino
Premio Adonáis de Poesía,Adrián González da Costa,masculino
Premio Nobel de Literatura,Nelly Sachs,femenino
Premio Nobel de Literatura,Rudolf Christoph Eucken,masculino
Premio Loewe,Juan Vicente Piqueras,masculino
Premio Herralde,Justo Navarro,masculino
Premio Nobel de Literatura,Toni Morrison,femenino
Premio Nobel de Literatura,Imre Kertész,masculino
Premio Hiperión,Ángelo Néstore,masculino
Premio Lazarillo,José Javier Aleixandre Ybargüen,masculino
Premio Lazarillo,Lluís Domènech Alberdi,masculino
Premio O. Henry,Lynn Freed,femenino
Premio O. Henry,Mary Swan,femenino
Premio O. Henry,Michelle Huneven,femenino
Premio O. Henry,Stuart Dybek,masculino
Premio Adonáis de Poesía,Rosario Neira,femenino
Premio Adonáis de Poesía,Joaquín Moreno Pedrosa,femenino
Premio O. Henry,Susan Kenney,femenino
Premio Adonáis de Poesía,Eugenio García de Nora,masculino
Premio Adonáis de Poesía,Francisco Serradilla,masculino
Premio O. Henry,Thom Jones,masculino
Premio O. Henry,Wilbur Daniel Steele,masculino
Premio Adonáis de Poesía,Carlos Sahagún,masculino
Premio Booker,Nadine Gordimer,femenino
Premio Strega,Giuseppe Tomasi di Lampedusa,masculino
Premio Hans Christian Andersen,Tormod Haugen,masculino
Premio Hans Christian Andersen,Michio Mado,masculino
Premio Hans Christian Andersen,Paula Fox,femenino
Premio O. Henry,James Lasdun,masculino
Premio O. Henry,Jim Shepard,masculino
Premio O. Henry,John Batki,masculino
Premio Hans Christian Andersen,José María Sánchez-Silva y García-Morales,masculino
Premio Hans Christian Andersen,Meindert DeJong,masculino
Premio Hans Christian Andersen,Erich Kästner,masculino
Premio Adonáis de Poesía,Blanca Andreu,femenino
Premio Hans Christian Andersen,Scott O'Dell,masculino
Premio Adonáis de Poesía,Ana Merino,femenino
Premio Strega,Alberto Moravia,masculino
Premio Hans Christian Andersen,Gianni Rodari,masculino
Premio Booker,Anne Enright,femenino
Premio Booker,Ian McEwan,masculino
Premio Hans Christian Andersen,María Gripe,femenino
Premio Hans Christian Andersen,Katherine Paterson,femenino
Premio Lazarillo,José Antonio Ramírez Lozano,masculino
Premio Lazarillo,Diego Arboleda,masculino
Premio Alfaguara de Novela,Guillermo Arriaga Jordán,masculino
Premio Alfaguara de Novela,Hernán Rivera Letelier,masculino
Premio Adonáis de Poesía,Arcadio López Casanova,masculino
Premio Adonáis de Poesía,Claudio Rodríguez,masculino
Premio Adonáis de Poesía,Francisco Brines,masculino
Premio O. Henry,Maxwell Struthers Burt,masculino
Premio O. Henry,Peter Baida,masculino
Premio O. Henry,Roark Bradford,masculino
Premio O. Henry,Leo E. Litwak,masculino
Premio O. Henry,Louis Paul,masculino
Premio Nadal,Elena Quiroga,femenino
Premio Booker,Roddy Doyle,masculino
Premio Strega,Natalia Ginzburg,femenino
Premio Strega,Dacia Maraini,femenino
Premio Hans Christian Andersen,Tove Jansson,femenino
Premio Strega,Ennio Flaiano,masculino
Premio Camões,Alberto da Costa e Silva,masculino
Premio Alfaguara de Novela,Andrés Neuman,masculino
Premio Nadal,Antonio Soler,masculino
Premio Hans Christian Andersen,Lygia Bojunga Nunes,femenino
Premio Hans Christian Andersen,Patricia Wrightson,femenino
Premio Alfaguara de Novela,Carla Guelfenbein,femenino
Premio Nadal,Pau Faner,masculino
Premio Nadal,Lorenzo Silva,masculino
Premio Alfaguara de Novela,Juan Gabriel Vásquez,masculino
Premio Alfaguara de Novela,Carlos Droguett,masculino
Premio Alfaguara de Novela,Luis Leante,masculino
Premio Nacional del Libro de Ficción,Julia Glass,femenino
Premio O. Henry,Andrew Fetler,masculino
Premio O. Henry,Michel Nieva,masculino
Premio Nobel de Literatura,Paul von Heyse,masculino
Premio Nadal,José María Carrascal,masculino
Premio Alfaguara de Novela,José Ovejero,masculino
Premio Nadal,José Vidal Cadellans,masculino
Premio Nadal,Juan Antonio Payno,masculino
Premio Nacional del Libro de Ficción,John Casey,masculino
Premio Adonáis de Poesía,José Suárez Carreño,masculino
Premio Nacional del Libro de Ficción,Larry Heinemann,masculino
Premio Strega,Predrag Matvejević,masculino
Premio Strega,Alessandro Piperno,masculino
Premio Strega,Antonio Pennacchi,masculino
Premio Hans Christian Andersen,Anna Maria Geertruida Schmidt,femenino
Premio O. Henry,Julian Leonard Street,masculino
Premio Camões,Hélia Correia,femenino
Premio Alfaguara de Novela,Pilar Quintana,femenino
Premio Hans Christian Andersen,Lisbeth Zwerger,femenino
Premio Hans Christian Andersen,Christine Nöstlinger,femenino
Premio O. Henry,Wilbur Schramm,masculino
Premio Strega,Claudio Magris,masculino
Premio O. Henry,Margaret Prescott Montague,femenino
Premio Nadal,Jesús Fernández Santos,masculino
Premio Nadal,Andrés Trapiello,masculino
Premio Strega,Giuseppe Dessì,masculino
Premio Strega,Tommaso Landolfi,masculino
Premio Nadal,Felipe Benítez Reyes,masculino
Premio Nadal,Francisco García Pavón,masculino
Premio Hans Christian Andersen,Margaret Mahy,femenino
Premio Strega,Elsa Morante,femenino
Premio Alfaguara de Novela,Sergio Ramírez,masculino
Premio Alfaguara de Novela,Tomás Eloy Martínez,masculino
Premio Alfaguara de Novela,Santiago Roncagliolo,masculino
Premio Hans Christian Andersen,Jürg Schubiger,masculino
Premio O. Henry,Laura van den Berg,femenino
Premio Alfaguara de Novela,Elena Poniatowska,femenino
Premio Alfaguara de Novela,Laura Restrepo,femenino
Premio Alfaguara de Novela,Clara Sánchez,femenino
Premio Alfaguara de Novela,Ema Wolf,femenino
Premio Nadal,Care Santos,femenino
Premio Nadal,Ana Merino,femenino
Premio Nadal,Najat el Hachmi,femenino
Premio Nadal,Carmen Amoraga,femenino
Premio Nadal,Juan Pedro Aparicio,masculino
Premio Nadal,Juan Ramón Zaragoza,masculino
Premio Nadal,Luis Romero,masculino
Premio Alfaguara de Novela,Patricio Pron,masculino
Premio Nadal,Salvador García Aguilar,masculino
Premio Booker,Kiran Desai,femenino
Premio Booker,A. S. Byatt,femenino
Premio Nadal,José Antonio García Blázquez,masculino
Premio Alfaguara de Novela,Leopoldo Brizuela,masculino
Premio Alfaguara de Novela,Eliseo Alberto,masculino
Premio Camões,Arménio Vieira,masculino
Premio Nadal,Álvaro Cunqueiro,masculino
Premio Strega,Carlo Cassola,masculino
Premio Strega,Edoardo Nesi,masculino
Premio Strega,Ferdinando Camon,masculino
Premio Nadal,Gustavo Martín Garzo,masculino
Premio Nadal,Carlos Rojas Vila,masculino
Premio Nadal,Manuel Vicent,masculino
Premio Alfaguara de Novela,Manuel Vicent,masculino
Premio Alfaguara de Novela,Xavier Velasco,masculino
Premio Nadal,José Suárez Carreño,masculino
Premio Nadal,José Félix Tapia,masculino
Premio literario Nike,Olga Tokarczuk,femenino
Premio Nadal,Dolores Medio,femenino
Premio Miguel de Cervantes,José Hierro,masculino
Premio Miguel de Cervantes,José García Nieto,masculino
Premio Miguel de Cervantes,Sergio Ramírez,masculino
Premio Nadal,Francisco José Alcántara,masculino
Premio Nadal,Germán Sánchez Espeso,masculino
Premio Nadal,Ignacio Carrión,masculino
Premio Nadal,José Luis Martín Descalzo,masculino
Premio Booker,Ruth Prawer Jhabvala,femenino
Premio Booker,Anita Brookner,femenino
Premio Alfaguara de Novela,Graciela Montes,femenino
Premio Nadal,José María Gironella,masculino
Premio Nadal,Pedro Zarraluki,masculino
Premio Strega,Giovanni Battista Angioletti,masculino
Premio Miguel de Cervantes,José Jiménez Lozano,masculino
Premio Alfaguara de Novela,Daniel Sueiro,masculino
Premio Nadal,José María Mendiola,masculino
Premio Strega,Dino Buzzati,masculino
Premio Strega,Niccolò Ammaniti,masculino
Premio Hans Christian Andersen,María Teresa Andruetto,femenino
Premio literario Nike,Mariusz Szczygieł,masculino
Premio literario Nike,Andrzej Stasiuk,masculino
Premio Strega,Fulvio Tomizza,masculino
Premio Nacional del Libro de Ficción,Mary Lee Settle,femenino
Premio Nacional del Libro de Ficción,Susan Choi,femenino
Premio Nadal,Eduardo Caballero Calderón,masculino
Premio Nadal,Eduardo Lago,masculino
Premio Nadal,Pedro Maestre Herrero,masculino
Premio Booker,Kingsley Amis,masculino
Premio Hans Christian Andersen,Farshid Mesghali,masculino
Premio Strega,Corrado Alvaro,masculino
Premio Hans Christian Andersen,Aidan Chambers,masculino
Premio Booker,Peter Carey,masculino
Premio Booker,Michael Ondaatje,masculino
Premio O. Henry,David Wiegand,masculino
Premio Strega,Lalla Romano,femenino
Premio O. Henry,Ottessa Moshfegh,femenino
Premio O. Henry,Lesley Nneka Arimah,femenino
Premio O. Henry,Dina Nayeri,femenino
Premio O. Henry,Fiona McFarlane,femenino
Premio O. Henry,Neela Vaswani,femenino
Premio O. Henry,Karina Sainz Borgo,femenino
Premio Nacional de Narrativa,Gonzalo Torrente Ballester,masculino
Premio Nacional de Narrativa,Rafael Chirbes,masculino
Premio Nacional de Narrativa,Kirmen Uribe,masculino
Premio Strega,Giorgio Bassani,masculino
Premio Strega,Ugo Riccarelli,masculino
Premio Adonáis de Poesía,Laureano Albán,masculino
Premio Adonáis de Poesía,Rogelio Guedea,masculino
Premio Adonáis de Poesía,Miguel Fernández,masculino
Premio Nacional de Literatura Infantil y Juvenil,Ana María Matute,femenino
Premio Nacional de Literatura Infantil y Juvenil,Elvira Lindo,femenino
Premio Goncourt,Pascale Roze,femenino
Premio Alfaguara de Novela,Luis Berenguer,masculino
Premio Alfaguara de Novela,Jesús Torbado Carro,masculino
Premio Alfaguara de Novela,Jorge Franco,masculino
Premio Nacional de Narrativa,Camilo José Cela,masculino
Premio Goncourt,Henri Fauconnier,masculino
Premio Goncourt,Adrien Bertrand,masculino
Premio Miguel de Cervantes,Joan Margarit i Consarnau,masculino
Premio Nacional de Narrativa,Miguel Delibes,masculino
Premio Nacional de Narrativa,Bernardo Atxaga,masculino
Premio Hans Christian Andersen,E. B. White,masculino
Premio Nadal,Ramiro Pinilla,masculino
Premio Nadal,Sergio Vila-Sanjuán,masculino
Premio Nadal,Víctor del Árbol,masculino
Premio Nadal,José C. Vales,masculino
Premio Nadal,Alejandro Palomas,masculino
Premio Nadal,Carlos Cañeque Solá,masculino
Premio Nadal,Vicente Soto Iborra,masculino
Premio Booker,John Berger,masculino
Premio Booker,Graham Swift,masculino
Premio Nacional de Narrativa,Juan Marsé,masculino
Premio Nacional de Narrativa,Carme Riera,femenino
Premio Goncourt,Marc Elder,masculino
Premio Goncourt,Guy Mazeline,masculino
Premio Goncourt,Henri Deberly,masculino
Premio Booker,Hilary Mantel,femenino
Premio Booker,Bernice Rubens,femenino
Premio Alfaguara de Novela,Antonio Orlando Rodríguez,masculino
Premio Alfaguara de Novela,Alfonso Grosso,masculino
Premio Nadal,Alejandro Gándara,masculino
Premio Miguel de Cervantes,Noemí María Girbal-Blacha,femenino
Premio Hans Christian Andersen,Eiko Kadono,femenino
Premio Hans Christian Andersen,Suekichi Akaba,masculino
Premio Strega,Paolo Giordano,masculino
Premio Booker,Ben Okri,masculino
Premio Booker,Alan Hollinghurst,masculino
Premio Nadal,Lluïsa Forrellad,femenino
Premio Booker,Kazuo Ishiguro,masculino
Premio Miguel de Cervantes,Francisco Brines,masculino
Premio Nacional de Narrativa,Alonso Zamora Vicente,masculino
Premio Goncourt,Jérôme Tharaud,masculino
Premio Goncourt,Marc Bernard,masculino
Premio Goncourt,Maurice Constantin-Weyer,masculino
Premio Goncourt,Lydie Salvayre,femenino
Premio Strega,Maurizio Maggiani,masculino
Premio Goncourt,Émile Moselly,masculino
Premio Goncourt,Pierre Gascar,masculino
Premio Goncourt,Jean Cau,masculino
Premio Goncourt,John Antoine Nau,masculino
Premio Goncourt,Jean-Louis Bory,masculino
Premio Goncourt,Philippe Hériat,masculino
Premio Goncourt,Henry Malherbe,masculino
Premio Goncourt,René Benjamin,masculino
Premio Goncourt,Lucien Bodard,masculino
Premio Goncourt,Joseph Peyré,masculino
Premio Strega,Domenico Starnone,masculino
Premio Booker,Penelope Lively,femenino
Premio Booker,Keri Hulme,femenino
Premio Booker,Penelope Fitzgerald,femenino
Premio Hans Christian Andersen,Ana Maria Machado,femenino
Premio Nacional de Narrativa,José María Merino,masculino
Premio Nacional de Literatura Infantil y Juvenil,José María Merino,masculino
Premio Nacional de Literatura Infantil y Juvenil,Pep Albanell,masculino
Premio Booker,Eleanor Catton,femenino
Premio Booker,Anna Burns,femenino
Premio Nadal,Alfonso Martínez Garrido,masculino
Premio Nadal,José María Requena,masculino
Premio Alfaguara de Novela,Cristian Alarcón Casanova,masculino
Premio Alfaguara de Novela,Héctor Vázquez-Azpiri,masculino
Premio Nacional de Narrativa,Alfredo Bryce Echenique,masculino
Premio Nacional de Narrativa,Juan Manuel de Prada,masculino
Premio Nadal,Carmen Gómez Ojea,femenino
Premio Booker,James Kelman,masculino
Premio Booker,Stanley Middleton,masculino
Premio Booker,David Storey,masculino
Premio Booker,Julian Barnes,masculino
Premio Booker,Aravind Adiga,masculino
Premio Miguel de Cervantes,Ida Vitale,femenino
Premio Booker,Bernardine Evaristo,femenino
Premio Goncourt,Francis de Miomandre,masculino
Premio Goncourt,Roger Vercel,masculino
Premio Nadal,Raúl Guerra Garrido,masculino
Premio Nacional de Literatura Infantil y Juvenil,Mariasun Landa,femenino
Premio Booker,Paul Beatty,masculino
Premio Nacional de Narrativa,Marcos Giralt Torrente,masculino
Premio Nacional de Literatura Infantil y Juvenil,Eliacer Cansino,masculino
Premio Nadal,Inés Martín Rodrigo,femenino
Premio Booker,Iris Murdoch,femenino
Premio Nacional de Literatura Infantil y Juvenil,Carmen Conde,femenino
Premio Planeta,Ángeles Caso,femenino
Premio Planeta,Espido Freire,femenino
Premio Nacional de Poesía,Chantal Maillard,femenino
Premio Planeta,Maruja Torres,femenino
Premio Nacional de Poesía,Olga Novo,femenino
Premio Miguel de Cervantes,José Manuel Caballero Bonald,masculino
Premio Nacional de Literatura Infantil y Juvenil,Maite Carranza,femenino
Premio Nacional de Literatura Infantil y Juvenil,Emili Teixidor,masculino
Premio Nacional de Literatura Infantil y Juvenil,Antonio Rodríguez Almodóvar,masculino
Premio Nacional de Literatura Infantil y Juvenil,Alfonso Martínez-Mena,masculino
Premio Nacional de Narrativa,Suso de Toro,masculino
Premio Nacional de Literatura Infantil y Juvenil,Joan Manuel Gisbert,masculino
Premio Nacional de Literatura Infantil y Juvenil,Andreu Martín,masculino
Premio Hans Christian Andersen,Eleanor Farjeon,femenino
Premio Nacional de Narrativa,Manuel Rivas,masculino
Premio Nacional de Narrativa,Alfredo Conde,masculino
Premio Nacional de Literatura Infantil y Juvenil,Fernando Marías Amondo,masculino
Premio Nacional de Literatura Infantil y Juvenil,Laura Gallego García,femenino
Premio Nacional de Narrativa,Juan José Millás,masculino
Premio Nacional de Narrativa,Luis Goytisolo,masculino
Premio Nacional de Literatura Infantil y Juvenil,Fernando Lalana,masculino
Premio Nacional de Literatura Infantil y Juvenil,Raimon Portell,masculino
Premio Nacional de Literatura Infantil y Juvenil,Juan Kruz Igerabide,masculino
Premio Nacional de Literatura Infantil y Juvenil,Paco Martín,masculino
Premio Nacional de Narrativa,Xesús Fraga,masculino
Premio Nacional de Literatura Infantil y Juvenil,Diego Arboleda,masculino
Premio Nacional de Literatura Infantil y Juvenil,César Mallorquí,masculino
Premio Nacional de Narrativa,Juan Bonilla,masculino
Premio Nacional de Literatura Infantil y Juvenil,Miguel Ángel Pacheco,masculino
Premio Planeta,Álvaro Pombo,masculino
Premio Nacional de Literatura Infantil y Juvenil,Juan Farias,masculino
Premio Nacional de Narrativa,Álvaro Pombo,masculino
Premio Nadal,Luis Gasulla,masculino
Premio Nadal,José María Sanjuán Urmeneta,masculino
Premio Nadal,José Luis de Tomás García,masculino
Premio Nacional de Narrativa,Cristina Morales,femenino
Premio Booker,Damon Galgut,masculino
Premio Booker,P. H. Newby,masculino
Premio Nacional de Literatura Infantil y Juvenil,Gabriel Janer Manila,masculino
Premio Nacional de Literatura Infantil y Juvenil,Carlos Murciano,masculino
Premio Nacional de Narrativa,Fernando Aramburu,masculino
Premio Nacional de Literatura Infantil y Juvenil,Ledicia Costas,femenino
Premio Nacional de Narrativa,Javier Marías,masculino
Premio Nacional de Narrativa,Francisco Ayala,masculino
Premio Booker,James Gordon Farrell,masculino
Premio Booker,Paul Scott,masculino
Premio Booker,Barry Unsworth,masculino
Premio Planeta,Ángel María de Lera,masculino
Premio Planeta,Juan Eslava Galán,masculino
Premio Planeta,Ángel Vázquez Molina,masculino
Premio Planeta,Antonio Gala,masculino
Premio Booker,DBC Pierre,masculino
Premio Booker,Howard Jacobson,masculino
Premio Planeta,Javier Moro,masculino
Premio Nacional de Poesía,José Antonio Muñoz Rojas,masculino
Premio Planeta,Javier Sierra,masculino
Premio Nacional de Literatura Infantil y Juvenil,Alejandro Palomas,masculino
Premio Nacional de Literatura Infantil y Juvenil,Fernando Martínez Gil,masculino
Premio Planeta,Mario Vargas Llosa,masculino
Premio Planeta,Eduardo Mendoza,masculino
Premio Planeta,Concha Alós,femenino
Premio Nacional de Literatura Infantil y Juvenil,Antonio García Teijeiro,masculino
Premio Nacional de Narrativa,José Luis Castillo-Puche,masculino
Premio Nacional de Narrativa,Luis Landero,masculino
Premio Nacional de Narrativa,Manuel Vázquez Montalbán,masculino
Premio Nacional de Narrativa,Javier Cercas,masculino
Premio Planeta,Antonio Prieto Martín,masculino
Premio Planeta,Antonio Santos Mercero,masculino
Premio Strega,Melania G. Mazzucco,femenino
Premio Strega,Margaret Mazzantini,femenino
Premio Hans Christian Andersen,Virginia Hamilton,femenino
Premio Nacional de Literatura Infantil y Juvenil,Jordi Sierra i Fabra,masculino
Premio Nacional de Literatura Infantil y Juvenil,Vicente Muñoz Puelles,masculino
Premio Planeta,Carmen Posadas,femenino
Premio Nacional de Literatura Infantil y Juvenil,Fina Casalderrey,femenino
Premio Nacional de Literatura Infantil y Juvenil,Montserrat del Amo,femenino
Premio Planeta,Camilo José Cela,masculino
Premio Planeta,Marcos Aguinis,masculino
Premio Nacional de Poesía,Pere Gimferrer,masculino
Premio Planeta,Jorge Zepeda Patterson,masculino
Premio Planeta,Clara Sánchez,femenino
Premio Nacional de Poesía,Joan Margarit i Consarnau,masculino
Premio Planeta,Jesús Torbado Carro,masculino
